MomLeg1[1],MomLeg2[1],ATRLeg1[1],ATRLeg2[1],Correlation,Duration,Type,MAE_leg1,MFE_leg1,Profit_leg1,MAE_leg2,MFE_leg2,Profit_leg2,Total_MAE,Total_MFE,Total_Profit,Profit
77.28398339,42.23063733,0.0029025,0.0015865,-0.810361634,93600,1,-386.3,0,-294.63,-12.55,330.14,267.82,-250.1,0,-26.81,0
60.10566058,23.87734072,0.00509,0.0024795,-0.343418784,252000,1,0,0,-294.63,-47.85,189.12,1.61,-434.15,0,-293.02,0
70.92318113,31.54999042,0.0039275,0.001701,0.669801036,57600,1,0,0,-294.63,-56.33,159.57,-22.69,-442.63,0,-317.32,0
73.81528885,36.94972974,0.003362,0.001871,-0.665741237,64800,1,-57.84,111.52,55.33,-199.44,0,-113.75,-127.04,0,-58.42,0
18.14050781,57.53837765,0.003884,0.0015685,-0.382428782,21600,0,0,0,55.33,-93.72,60.61,-58.94,-25.17,129.16,-3.61,0
32.99538307,68.06721862,0.002307,0.0017585,-0.639765738,28800,0,-22.67,14.04,55.18,-2.95,28.27,26.3,-16.67,42.31,81.48,1
77.14876004,41.74200015,0.0040415,0.0025215,0.309917978,216000,1,-73.86,27.21,-3.63,-56.16,136.05,112.96,-126.41,110.07,109.33,1
38.50688098,73.52299796,0.0031385,0.001717,0.362556361,108000,0,-240.2,0,-116.08,-202.34,0,-124.08,-360.56,0,-240.16,0
59.22556108,22.62706626,0.002793,0.0016325,0.185815216,61200,1,-55.57,31.03,6.78,-8.18,83.95,11.79,-4.73,78.81,18.57,1
79.83750469,44.54930893,0.0033085,0.001876,0.104579084,50400,1,-61.71,20.53,-10.06,-21.06,73.73,-50.23,-65.77,22.79,-60.29,0
30.38523436,71.21922541,0.0029975,0.0020565,-0.33399475,39600,0,-48.32,30.55,20.35,-9.02,42.06,51.28,-28.27,23.52,71.63,1
67.5298726,26.61559408,0.002564,0.0013835,0.299195496,104400,1,-445.36,0,-423.87,-1.8,256.95,217.33,-332.63,32.82,-206.54,0
76.51280268,40.37554993,0.0029645,0.001655,0.103543938,39600,1,-212.4,0,-89.81,-3.49,142.03,90.83,-91.47,22.03,1.02,1
39.3490022,83.5494874,0.002606,0.001492,0.815529634,93600,0,-257.46,28.61,-220.58,-242.4,0,-44.97,-416.47,0,-265.55,0
13.36186178,57.28507364,0.002741,0.0014175,0.90260029,21600,0,0,0,-220.58,-4.53,277.7,180.99,-261.99,20.24,-39.59,0
75.31450068,38.8532171,0.002714,0.001622,0.070902805,21600,1,-48.61,63.6,-27.05,-52.73,155.71,132.21,-4.69,107.1,105.16,1
38.62074888,79.65289794,0.0028035,0.0017825,-0.523512051,241200,0,-118.76,0,-53.73,-4.19,201.22,181.79,-4.93,117.77,128.06,1
36.10693015,71.83888983,0.003106,0.0021505,0.667660391,61200,0,-2.17,138.69,66.34,-145.65,0,9.39,-16.57,76.24,75.73,1
22.51448493,58.93434282,0.0027985,0.001931,-0.026671571,79200,0,-197,45.21,-176.28,-4.39,102.32,84.37,-140.23,55.06,-91.91,0
23.42888057,71.55419837,0.002104,0.0013895,-0.688092392,68400,0,-26.28,122.97,182.72,-105.31,0,-116.04,-61.75,62.14,66.68,1
29.37352614,73.33914399,0.002986,0.001764,-0.419774079,64800,0,-68.66,43.79,18.01,-64.12,45.54,-40.07,-71.96,54.85,-22.06,0
22.74850749,67.63823813,0.00192,0.00122,-0.64105372,100800,0,-84.03,158.52,-16.25,-240.42,8.41,-147.44,-152.35,19.53,-163.69,0
67.83134196,23.26862638,0.0022335,0.001813,-0.060521076,54000,1,-3.4,111.07,70.53,-72.73,37.18,15.22,-11.12,91.19,85.75,1
31.66915856,76.60480423,0.001988,0.001407,0.72284893,36000,0,-2.92,286.38,267.22,-116.57,0,-21.71,-8.09,183.78,245.51,1
72.61547745,37.31636891,0.0022465,0.001286,-0.438511391,43200,1,-62.92,38.25,-14.81,-170.82,25.16,-70.01,-179.23,0,-84.82,0
29.75124805,66.63904052,0.001987,0.0013685,-0.267354287,72000,0,-41.29,120.65,149.84,-221.98,48.86,-217.32,-165.75,21.38,-67.48,0
54.91535599,16.78116622,0.002654,0.001987,0.470857293,93600,1,-385.89,1.12,-373.73,-25.8,337.89,317.31,-155.86,0,-56.42,0
26.08995685,63.73347774,0.002892,0.0022555,-0.355835474,39600,0,-81.07,34.41,-1.28,-18.33,133.04,113.87,-7.71,51.97,112.59,1
81.70120993,44.99323795,0.0026155,0.0020245,0.781173021,93600,1,-281.9,80.92,-231.61,-103.15,104.48,56.28,-198.7,35.95,-175.33,0
29.98345501,74.1478011,0.002682,0.002221,0.283225173,201600,0,-17.32,0,-8.75,-14.84,132.27,85.46,-21.26,116.38,76.71,1
43.27785476,80.38936124,0.002572,0.002252,-0.650749929,68400,0,-75.16,48.15,1.43,-159.73,0,-48.67,-159.6,33.21,-47.24,0
39.88668529,80.80560614,0.0031935,0.0017215,0.706603852,7200,0,0,0,1.43,-6.13,23.87,-91.22,-44.55,0,-89.79,0
33.67667882,85.11681961,0.0027975,0.0024815,-0.00963445,266400,0,-327.71,29.79,-281.14,-10.73,200.03,201.09,-274.57,45.54,-80.05,0
84.04497157,44.31671039,0.0030725,0.002208,-0.007218666,82800,1,-123.38,0,-25.93,-112.22,39.4,-23.05,-160.8,0,-48.98,0
48.72827437,84.17751265,0.0023245,0.002647,0.730937012,39600,0,-15.68,179.32,315.76,-148.91,0,-189.06,-33.01,66.43,126.7,1
81.93091962,33.45729259,0.0038635,0.0031635,0.322648134,234000,1,-1.22,149.63,183.31,-46.45,116.77,-35.37,-1.26,151.8,147.94,1
21.79048688,57.61989842,0.00483,0.0026325,0.889252081,28800,0,-111.73,68.79,-88.88,-5.99,273.15,167.72,-7.06,161.42,78.84,1
59.97157353,24.6294584,0.0033895,0.0023405,0.544522479,198000,1,-20.61,25.44,-13.07,-1.05,171.74,125.4,-1.77,151.13,112.33,1
32.57810952,68.53321238,0.002229,0.001752,-0.202569623,79200,0,-223.54,0,-202.41,-6.31,297.19,285.49,-136.65,73.65,83.08,1
76.42867322,40.1229034,0.0033795,0.0023455,0.379293878,46800,1,-147.04,0,-98.46,-9.77,144.7,230.14,-59.91,31.03,131.68,1
47.34713095,84.09328669,0.0024395,0.0024995,0.627642018,25200,0,-1.08,60.83,204.46,-2.71,36.27,-22.17,-3.79,97.1,182.29,1
42.83024794,78.87668027,0.002539,0.0021085,0.394154837,21600,0,-16.22,118.2,135.62,-61.41,0,-27.81,-38.78,112.17,107.81,1
80.90543942,42.34211043,0.002955,0.002944,0.414530715,219600,1,-39.32,41.59,92.36,-78.02,49.51,-98.2,-91.6,22.9,-5.84,0
17.06762573,59.86571988,0.003078,0.0021935,0.323893609,39600,0,-60.6,65.3,75.03,-47.95,37.56,-11.88,-58.83,65.55,63.15,1
22.60757614,58.02430246,0.002691,0.002085,0.87001075,10800,0,-0.91,31.04,8.35,-8.22,59.24,67.69,-5.13,59.97,76.04,1
